no,brand,price,cpu_man,cpu_freq,cpu_type,n_cores,cache_size,ram_size,ssd_size,display_tech,px_res,nits,width,g_card,bat_cap,bat_dur,ac_a_power,os,fingerprint
1,0.3571,983.18,1,0.784313725,0.881,0.3,0.6,0.4,8,8,0.613611111,0.6972,0.780346821,0.095547,0.500500501,0.71875,0.282608696,0.875,0
2,0.005,347.68,0.43,0.470588235,0.835,0.1,0.1,0.2,7,4,0.189722222,0.4,0.809248555,0.095547,0.45045045,0.4375,0.282608696,0.688,0
3,0.005,438.7,0.43,0.666666667,0.832,0.1,0.2,0.2,7,4,0.375,0.44,0.901734104,0.095547,0.45045045,0.45625,0.282608696,0.688,0
4,0.005,983.18,0.43,0.823529412,0.864,0.2,0.3,0.4,9,6,0.375,0.5,0.809248555,0.095547,0.570570571,0.75,0.282608696,0.875,1
5,0.0128,794.58,0.43,0.823529412,0.793,0.2,0.4,0.4,8,6,0.375,0.822,0.768786127,0.099153,0.510510511,0.6875,0.282608696,0.875,1
6,0.005,786.38,1,0.803921569,0.68,0.4,0.4,0.8,9,6,0.375,0.5,0.809248555,0.095547,0.525525526,1,0.282608696,0.875,1
7,0.005,819.18,0.43,0.823529412,0.864,0.2,0.3,0.4,8,6,0.375,0.6,0.768786127,0.091941,0.48048048,0.65,0.282608696,0.875,1
8,0.0128,761.78,1,0.803921569,0.68,0.4,0.4,0.4,9,6,0.375,0.6,0.901734104,0.095547,0.41041041,0.375,0.195652174,0.875,0
9,0.0128,786.38,1,0.803921569,0.68,0.4,0.4,0.8,8,6,0.375,0.44,0.901734104,0.095547,0.41041041,0.375,0.195652174,0.875,0
10,0.005,728.16,0.43,0.823529412,0.864,0.2,0.3,0.4,8,6,0.375,0.5,0.809248555,0.095547,0.45045045,0.875,0.282608696,0.875,1
11,0.005,819.18,0.43,0.960784314,0.805,0.2,0.4,0.4,8,6,0.375,0.5,0.809248555,0.095547,0.45045045,0.65625,0.282608696,0.875,1
12,0.0181,1311.18,1,0.862745098,0.919,0.4,0.4,0.8,10,6,0.375,0.6,0.901734104,0.14963,0.510510511,0.453125,0.282608696,0.875,0
13,0.0128,1184.08,0.43,0.980392157,0.655,0.3,0.6,0.4,10,6,0.375,0.6,0.901734104,0.144222,0.690690691,0.616875,0.869565217,0,0
